userId,reviewNo,rating,movieId
zct2,12515592,10,142305
zct2,11714458,10,142822
zct2,11176848,1,128273
zct2,11057550,10,36720
zct2,11028704,10,112268
zct2,10288740,5,98149
zct2,9994772,10,81322
zct2,9983063,7,127768
zct2,9873658,10,63722
zct2,9523384,1,127338
zct2,9230691,10,35619
zct2,9227466,9,52747
zct2,9167997,9,67769
zct2,8978414,10,91192
zct2,8575708,10,96961
zct2,7383795,10,76709
wjda,15772019,10,137327
wjda,15733274,6,177371
wjda,15554415,10,136900
wjda,15191675,10,156464
wjda,15099123,1,166092
wjda,14699014,10,167105
wjda,14692887,10,119428
wjda,14354197,1,109906
wjda,14336022,1,172003
wjda,14275357,10,144330
wjda,14196866,10,141668
wjda,14189986,10,154285
wjda,14185854,2,100691
wjda,14137709,6,74866
wjda,14135075,10,47152
wjda,14097284,10,136315
wjda,14078643,1,169347
wjda,14023370,10,109960
wjda,14015365,10,152249
wjda,13923697,10,142822
wjda,13872626,10,143394
wjda,13872625,10,143394
wjda,13848964,10,103535
wjda,13848963,10,103535
wjda,13789058,10,96327
wjda,13664525,10,98146
wjda,13664321,2,121048
wjda,13664296,6,92575
lily,15772018,8,177967
lily,9946293,10,100974
huyr,15772017,10,164173
huyr,15690951,10,167099
huyr,8211077,10,78845
huyr,8036772,10,103535
huyr,8008657,10,88662
huyr,5127393,10,69986
huyr,3904322,10,67061
huyr,1354426,10,57794
nege,15772016,1,177483
nege,15517365,1,163826
nege,15514735,1,180425
nege,14574970,10,174626
nege,14486755,8,175322
nege,14171053,1,124845
nege,13973713,1,140718
nege,13915254,5,166589
nege,9848164,2,122916
nege,9424546,1,45290
nege,9145443,1,25584
nege,7934792,1,89667
nege,7931944,1,88253
nege,7927219,1,19074
nege,6742477,1,10037
nege,6693600,1,65963
nege,6687073,3,85870
nege,6662797,3,52515
nege,6650885,2,92181
nege,6299094,7,19303
nege,5439182,1,51947
nege,5439177,10,78784
nege,5434488,4,54290
nege,5431401,10,52777
nege,5428963,1,53781
nege,5423571,1,73372
nege,5416249,10,65245
nege,5416242,1,52553
nege,5414503,1,28465
nege,5414378,10,38421
nege,5414375,4,62586
nege,5411149,6,76445
nege,5410498,10,65869
nege,5406360,1,38618
nege,5402246,1,38766
nege,5402186,4,76459
nege,5394455,6,75337
nege,5391352,3,74295
nege,5391334,8,41838
nege,5369635,4,47531
nege,5240295,7,69986
nege,5218916,9,75400
nege,5161275,1,73344
nege,5055860,2,61115
nege,5028730,4,70397
nege,4931183,4,72408
nege,3750268,1,39430
frie,15772015,10,161967
frie,14847375,10,167638
frie,14548047,6,140652
frie,12984730,10,146469
frie,10828059,5,130903
frie,10679691,6,143245
frie,10676109,10,100647
frie,8482269,9,105521
frie,8472379,7,107924
frie,8113100,5,103762
frie,7616255,5,92575
frie,6043937,10,87571
frie,5292208,10,73476
frie,1919900,8,58018
frie,541685,10,39894
vanq,15772014,10,161967
vanq,10193797,10,115977
youn,15772013,1,152170
zard,15772012,9,152170
zard,15711113,10,158653
zard,15666119,1,127397
zard,15509414,1,161331
zard,15493894,1,162981
zard,14918746,10,160749
zard,14840695,5,166610
zard,14835197,10,150637
zard,14596307,1,100691
zard,14575007,1,155411
zard,14437267,1,153687
zard,14363164,10,170242
zard,14248929,1,71713
zard,14097214,1,136315
zard,14060245,10,155716
zard,14033767,1,42792
zard,13956337,1,85578
zard,13905646,10,154449
zard,13886688,1,168298
zard,13879133,1,10636
zard,13869759,1,144314
zard,13846344,10,127383
zard,13832891,1,141206
zard,13814316,10,46875
zard,13799144,1,142384
zard,13651769,5,152161
zard,13587158,1,106360
zard,13576332,10,115240
zard,13543798,10,144975
zard,13526110,10,25265
zard,13383047,10,31476
zard,13310537,10,63268
zard,13294762,10,38461
zard,13294725,10,44025
zard,13285858,10,157178
zard,13285094,8,139673
zard,13273419,10,161242
zard,13241675,1,142822
zard,13209842,1,120581
zard,13007704,1,153652
zard,12973371,1,146506
zard,12841654,1,113344
zard,12677362,1,134977
zard,12578472,10,83546
zard,12482740,1,156465
zard,12482739,1,19051
zard,12474834,1,93234
zard,12032511,10,145421
zard,11928250,10,29208
